rider_id,driver_id,city,pickup_area,dropoff_area,start_time,end_time,duration_min,distance_km,fare,rating,payment_method
R0054,D0085,Tamale,Sagnarigu,Choggu,2025-03-13 21:00:00,2025-03-13 21:25:00,25,9.73,41.51,4.9,Mobile Money
R0201,D0168,Kumasi,Tafo,Bantama,2025-06-03 21:14:00,2025-06-03 21:26:00,12,7.04,25.56,3.6,Mobile Money
R0052,D0166,Accra,Madina,Osu,2025-01-18 22:16:00,2025-01-18 22:53:00,37,7.84,22.34,4.2,Cash
R0236,D0024,Tamale,Nyohini,Sagnarigu,2025-10-02 09:06:00,2025-10-02 09:25:00,19,13.06,28.93,3.6,Card
R0218,D0019,Kumasi,Asokwa,Ahodwo,2025-01-20 06:42:00,2025-01-20 06:50:00,8,22.8,53.12,3.3,Card
R0064,D0057,Kumasi,Tafo,Asokwa,2025-02-07 08:25:00,2025-02-07 09:01:00,36,12.75,52.26,3.5,Cash
R0148,D0117,Tamale,Choggu,Nyohini,2025-07-11 17:13:00,2025-07-11 17:41:00,28,17.13,59.79,3.5,Card
R0259,D0057,Accra,Dansoman,Tema,2025-08-24 17:47:00,2025-08-24 18:03:00,16,18.48,51.31,4.3,Mobile Money
R0054,D0027,Tamale,Lamashegu,Choggu,2025-04-25 22:35:00,2025-04-25 23:10:00,35,16.2,49.66,3.2,Cash
R0189,D0141,Takoradi,Effiakuma,Anaji,2025-03-22 02:21:00,2025-03-22 03:01:00,40,21.05,53.08,3.4,Cash
R0094,D0149,Takoradi,Anaji,Effiakuma,2025-02-13 22:09:00,2025-02-13 22:33:00,24,1.98,13.31,4.4,Card
R0146,D0163,Accra,Osu,Tema,2025-01-31 20:46:00,2025-01-31 20:57:00,11,1.4,13.53,3.5,Cash
R0288,D0063,Accra,Dansoman,Airport,2025-09-03 21:17:00,2025-09-03 21:49:00,32,16.48,40.47,4.4,Card
R0077,D0179,Takoradi,Effiakuma,Sekondi,2025-08-01 20:17:00,2025-08-01 20:56:00,39,10.28,42.68,3.3,Card
R0023,D0165,Takoradi,Market Circle,Sekondi,2025-04-26 17:47:00,2025-04-26 18:28:00,41,9.19,23.87,4.8,Cash
R0209,D0070,Kumasi,Bantama,Ahodwo,2025-10-08 09:03:00,2025-10-08 09:09:00,6,22.06,52.47,4.3,Cash
R0134,D0119,Kumasi,Adum,Ahodwo,2025-02-21 13:15:00,2025-02-21 13:37:00,22,20.61,61.8,4.1,Cash
R0154,D0090,Kumasi,Bantama,Ahodwo,2025-04-02 04:20:00,2025-04-02 04:27:00,7,6.8,19.47,4.8,Cash
R0285,D0061,Tamale,Lamashegu,Choggu,2025-03-02 14:51:00,2025-03-02 15:13:00,22,22.61,70.54,3.7,Mobile Money
R0089,D0043,Kumasi,Asokwa,Tafo,2025-05-03 00:05:00,2025-05-03 00:33:00,28,9.38,35.69,4.8,Card
R0269,D0155,Kumasi,Asokwa,Ahodwo,2025-07-21 23:40:00,2025-07-22 00:17:00,37,22.29,76.2,4.3,Card
R0160,D0131,Takoradi,Market Circle,Effiakuma,2025-03-04 00:55:00,2025-03-04 01:38:00,43,3.02,13.51,4.8,Card
R0293,D0019,Tamale,Nyohini,Choggu,2025-05-31 18:16:00,2025-05-31 18:51:00,35,15.55,31.61,3.2,Cash
R0187,D0177,Tamale,Nyohini,Lamashegu,2025-08-17 18:16:00,2025-08-17 18:25:00,9,16.92,33.55,3.3,Card
R0052,D0053,Takoradi,Effiakuma,Anaji,2025-10-21 18:04:00,2025-10-21 18:20:00,16,14.17,48.86,4.3,Card
R0065,D0174,Takoradi,Market Circle,Anaji,2025-03-08 21:29:00,2025-03-08 21:50:00,21,6.38,26.66,3.5,Mobile Money
R0221,D0044,Accra,Airport,East Legon,2025-05-06 16:02:00,2025-05-06 16:19:00,17,8.81,36.37,4.3,Mobile Money
R0144,D0164,Kumasi,Adum,Tafo,2025-01-02 12:12:00,2025-01-02 12:45:00,33,21.38,68.19,4.1,Card
R0096,D0104,Kumasi,Ahodwo,Bantama,2025-08-28 15:22:00,2025-08-28 15:55:00,33,3.25,15.27,3.5,Cash
R0030,D0073,Tamale,Sagnarigu,Lamashegu,2025-05-09 10:49:00,2025-05-09 11:23:00,34,6.86,31.64,3.8,Mobile Money
R0171,D0071,Tamale,Choggu,Lamashegu,2025-06-06 08:32:00,2025-06-06 09:05:00,33,22.41,69.9,4.6,Mobile Money
R0189,D0022,Tamale,Sagnarigu,Choggu,2025-02-04 01:41:00,2025-02-04 01:48:00,7,13.06,42.66,4.0,Card
R0259,D0025,Tamale,Sagnarigu,Lamashegu,2025-05-16 10:47:00,2025-05-16 11:19:00,32,5.69,24.76,3.6,Cash
R0212,D0077,Tamale,Lamashegu,Nyohini,2025-03-24 22:47:00,2025-03-24 23:20:00,33,1.58,12.41,3.4,Mobile Money
R0292,D0175,Kumasi,Bantama,Adum,2025-04-17 15:47:00,2025-04-17 16:03:00,16,23.57,88.32,4.8,Cash
R0217,D0038,Tamale,Sagnarigu,Lamashegu,2025-06-06 22:50:00,2025-06-06 23:07:00,17,9.88,23.13,4.9,Mobile Money
R0135,D0001,Accra,Airport,Tema,2025-06-24 00:29:00,2025-06-24 01:00:00,31,11.28,48.73,4.9,Card
R0106,D0187,Tamale,Sagnarigu,Lamashegu,2025-09-09 00:39:00,2025-09-09 01:17:00,38,21.47,52.85,3.8,Mobile Money
R0096,D0186,Takoradi,Anaji,Sekondi,2025-02-14 00:46:00,2025-02-14 00:57:00,11,21.43,53.73,3.3,Card
R0141,D0173,Accra,Tema,Airport,2025-05-27 02:42:00,2025-05-27 03:03:00,21,14.36,58.43,4.4,Mobile Money
R0023,D0141,Tamale,Lamashegu,Choggu,2025-03-07 21:43:00,2025-03-07 21:48:00,5,14.68,32.87,4.2,Mobile Money
R0052,D0037,Kumasi,Bantama,Ahodwo,2025-04-22 16:31:00,2025-04-22 16:40:00,9,24.76,52.08,4.0,Card
R0266,D0043,Tamale,Sagnarigu,Choggu,2025-04-10 08:12:00,2025-04-10 08:49:00,37,22.06,73.77,4.4,Card
R0165,D0078,Takoradi,Sekondi,Effiakuma,2025-04-09 10:20:00,2025-04-09 10:26:00,6,17.86,47.63,3.6,Cash
R0205,D0181,Takoradi,Effiakuma,Market Circle,2025-04-28 19:30:00,2025-04-28 19:54:00,24,20.42,71.72,4.7,Mobile Money
R0038,D0113,Takoradi,Sekondi,Market Circle,2025-07-15 04:40:00,2025-07-15 05:17:00,37,22.92,65.82,4.0,Cash
R0097,D0070,Kumasi,Ahodwo,Asokwa,2025-10-13 11:01:00,2025-10-13 11:19:00,18,20.16,64.45,4.4,Card
R0270,D0128,Tamale,Nyohini,Sagnarigu,2025-01-10 15:51:00,2025-01-10 16:30:00,39,20.1,73.93,3.7,Mobile Money
R0057,D0125,Accra,East Legon,Tema,2025-08-06 04:34:00,2025-08-06 04:49:00,15,10.01,26.9,4.2,Mobile Money
R0223,D0134,Tamale,Sagnarigu,Choggu,2025-02-01 22:31:00,2025-02-01 23:14:00,43,1.86,12.52,4.1,Card
R0054,D0017,Tamale,Sagnarigu,Nyohini,2025-04-08 21:07:00,2025-04-08 21:42:00,35,7.88,29.13,3.1,Card
R0281,D0008,Kumasi,Bantama,Ahodwo,2025-09-25 10:24:00,2025-09-25 10:57:00,33,1.9,13.98,3.7,Card
R0132,D0014,Kumasi,Ahodwo,Adum,2025-10-17 10:34:00,2025-10-17 10:50:00,16,4.05,18.31,4.5,Mobile Money
R0263,D0191,Takoradi,Anaji,Sekondi,2025-05-28 12:49:00,2025-05-28 13:01:00,12,6.18,24.97,3.2,Card
R0055,D0006,Accra,East Legon,Osu,2025-02-15 23:24:00,2025-02-15 23:33:00,9,2.24,15.74,4.1,Mobile Money
R0082,D0067,Tamale,Lamashegu,Choggu,2025-07-08 18:18:00,2025-07-08 18:38:00,20,16.3,56.12,5.0,Card
R0231,D0131,Kumasi,Bantama,Adum,2025-05-23 12:49:00,2025-05-23 13:25:00,36,13.39,36.73,4.6,Mobile Money
R0164,D0040,Accra,East Legon,Tema,2025-01-12 20:21:00,2025-01-12 20:34:00,13,7.5,27.83,3.2,Cash
R0206,D0097,Tamale,Sagnarigu,Nyohini,2025-01-26 03:09:00,2025-01-26 03:25:00,16,1.61,13.51,4.7,Mobile Money
R0153,D0002,Tamale,Lamashegu,Sagnarigu,2025-04-28 18:52:00,2025-04-28 19:33:00,41,17.7,49.03,3.3,Mobile Money
R0084,D0058,Tamale,Sagnarigu,Lamashegu,2025-09-29 04:24:00,2025-09-29 04:56:00,32,4.75,17.5,4.1,Card
R0288,D0189,Takoradi,Market Circle,Sekondi,2025-09-06 21:58:00,2025-09-06 22:03:00,5,18.15,59.19,3.6,Mobile Money
R0144,D0114,Kumasi,Ahodwo,Bantama,2025-07-30 13:08:00,2025-07-30 13:53:00,45,23.92,79.18,4.1,Card
R0220,D0128,Kumasi,Asokwa,Tafo,2025-03-09 02:15:00,2025-03-09 02:26:00,11,15.68,44.68,3.5,Card
R0104,D0006,Takoradi,Anaji,Effiakuma,2025-08-01 21:52:00,2025-08-01 22:25:00,33,9.54,36.77,3.0,Mobile Money
R0060,D0124,Tamale,Nyohini,Choggu,2025-02-12 01:16:00,2025-02-12 01:30:00,14,3.79,14.03,3.1,Card
R0144,D0074,Kumasi,Adum,Ahodwo,2025-09-16 10:17:00,2025-09-16 10:27:00,10,21.53,70.59,3.9,Mobile Money
R0119,D0050,Tamale,Lamashegu,Sagnarigu,2025-03-10 19:38:00,2025-03-10 20:04:00,26,3.35,16.32,3.9,Card
R0146,D0153,Kumasi,Asokwa,Ahodwo,2025-03-07 23:11:00,2025-03-07 23:31:00,20,5.16,20.22,3.8,Card
R0245,D0072,Takoradi,Market Circle,Anaji,2025-06-02 22:18:00,2025-06-02 22:51:00,33,15.78,51.71,3.1,Mobile Money
R0136,D0014,Kumasi,Asokwa,Adum,2025-02-15 05:02:00,2025-02-15 05:11:00,9,9.99,35.49,4.0,Card
R0242,D0199,Kumasi,Tafo,Asokwa,2025-02-26 05:23:00,2025-02-26 05:56:00,33,21.56,68.74,3.3,Card
R0146,D0030,Kumasi,Ahodwo,Adum,2025-07-20 20:21:00,2025-07-20 21:03:00,42,2.69,15.49,3.1,Cash
R0086,D0138,Takoradi,Effiakuma,Sekondi,2025-02-27 12:10:00,2025-02-27 12:51:00,41,15.06,58.91,4.2,Card
R0106,D0162,Tamale,Nyohini,Sagnarigu,2025-02-23 05:01:00,2025-02-23 05:33:00,32,10.32,36.76,3.9,Mobile Money
R0156,D0159,Tamale,Nyohini,Choggu,2025-08-01 19:45:00,2025-08-01 20:13:00,28,14.09,55.67,3.8,Mobile Money
R0004,D0129,Takoradi,Sekondi,Anaji,2025-09-27 09:09:00,2025-09-27 09:27:00,18,24.07,87.69,3.4,Cash
R0193,D0077,Tamale,Lamashegu,Sagnarigu,2025-03-09 02:57:00,2025-03-09 03:03:00,6,2.66,12.53,3.0,Card
R0112,D0036,Accra,East Legon,Dansoman,2025-02-15 15:35:00,2025-02-15 15:41:00,6,3.27,19.37,3.1,Cash
R0200,D0083,Accra,Osu,Airport,2025-03-24 04:36:00,2025-03-24 04:51:00,15,8.66,37.62,3.0,Card
R0267,D0096,Tamale,Sagnarigu,Choggu,2025-03-10 10:15:00,2025-03-10 10:58:00,43,20.55,50.41,3.2,Card
R0133,D0182,Accra,Tema,East Legon,2025-06-16 23:52:00,2025-06-17 00:29:00,37,17.72,58.87,4.8,Card
R0249,D0003,Tamale,Choggu,Nyohini,2025-06-20 16:11:00,2025-06-20 16:50:00,39,18.64,65.91,3.6,Mobile Money
R0109,D0181,Takoradi,Effiakuma,Market Circle,2025-01-01 18:23:00,2025-01-01 19:04:00,41,5.26,23.79,4.6,Cash
R0015,D0110,Takoradi,Effiakuma,Sekondi,2025-01-01 11:54:00,2025-01-01 12:21:00,27,24.77,65.6,3.7,Mobile Money
R0033,D0087,Kumasi,Asokwa,Adum,2025-06-02 03:39:00,2025-06-02 04:21:00,42,19.63,50.82,4.9,Card
R0186,D0024,Kumasi,Tafo,Bantama,2025-05-17 05:55:00,2025-05-17 06:30:00,35,21.6,58.93,4.5,Cash
R0201,D0189,Accra,Dansoman,Tema,2025-10-17 02:43:00,2025-10-17 03:22:00,39,19.11,42.61,4.8,Cash
R0211,D0098,Kumasi,Asokwa,Adum,2025-10-25 08:17:00,2025-10-25 08:37:00,20,13.13,49.4,3.6,Card
R0221,D0193,Accra,Airport,Dansoman,2025-08-08 22:40:00,2025-08-08 23:25:00,45,22.49,61.24,3.0,Cash
R0158,D0112,Takoradi,Anaji,Effiakuma,2025-01-31 08:51:00,2025-01-31 09:28:00,37,22.73,46.24,3.6,Card
R0249,D0054,Accra,Osu,Airport,2025-03-03 05:17:00,2025-03-03 05:43:00,26,23.8,90.95,4.1,Cash
R0241,D0074,Kumasi,Adum,Bantama,2025-05-04 10:24:00,2025-05-04 11:03:00,39,16.16,46.73,3.6,Cash
R0251,D0159,Tamale,Sagnarigu,Lamashegu,2025-03-19 11:49:00,2025-03-19 12:24:00,35,8.89,33.29,4.5,Mobile Money
R0023,D0071,Kumasi,Tafo,Ahodwo,2025-08-13 15:38:00,2025-08-13 16:11:00,33,20.0,69.58,3.2,Card
R0118,D0024,Takoradi,Market Circle,Effiakuma,2025-07-09 09:03:00,2025-07-09 09:47:00,44,12.87,28.79,4.1,Card
R0254,D0148,Tamale,Lamashegu,Sagnarigu,2025-06-13 08:26:00,2025-06-13 09:03:00,37,11.6,45.99,3.7,Cash
R0087,D0066,Accra,Dansoman,Osu,2025-01-03 08:06:00,2025-01-03 08:34:00,28,3.81,16.8,4.5,Cash
R0011,D0149,Accra,Dansoman,Osu,2025-09-04 02:43:00,2025-09-04 02:51:00,8,15.84,36.96,3.2,Mobile Money
R0272,D0014,Takoradi,Market Circle,Anaji,2025-06-26 12:18:00,2025-06-26 12:38:00,20,17.82,37.32,4.6,Card
R0067,D0027,Kumasi,Tafo,Adum,2025-01-15 18:03:00,2025-01-15 18:08:00,5,17.95,37.85,3.2,Card
R0232,D0017,Tamale,Choggu,Nyohini,2025-05-16 09:25:00,2025-05-16 10:05:00,40,24.68,63.49,3.7,Mobile Money
R0075,D0163,Tamale,Lamashegu,Sagnarigu,2025-04-28 17:44:00,2025-04-28 17:53:00,9,20.51,77.62,5.0,Cash
R0197,D0013,Accra,Madina,Dansoman,2025-07-05 18:29:00,2025-07-05 18:42:00,13,19.08,52.98,3.2,Card
R0147,D0157,Takoradi,Anaji,Market Circle,2025-04-27 03:38:00,2025-04-27 03:52:00,14,19.65,59.42,3.8,Mobile Money
R0235,D0187,Accra,Dansoman,Tema,2025-08-22 08:28:00,2025-08-22 09:13:00,45,22.75,49.18,4.0,Mobile Money
R0297,D0176,Tamale,Nyohini,Sagnarigu,2025-04-14 03:56:00,2025-04-14 04:09:00,13,1.27,11.1,3.1,Card
R0116,D0077,Tamale,Choggu,Lamashegu,2025-06-26 17:54:00,2025-06-26 18:38:00,44,3.85,14.68,4.3,Mobile Money
R0288,D0013,Tamale,Sagnarigu,Choggu,2025-03-09 01:15:00,2025-03-09 01:34:00,19,18.91,58.43,4.9,Card
R0152,D0028,Takoradi,Effiakuma,Anaji,2025-10-19 03:12:00,2025-10-19 03:18:00,6,10.0,28.71,4.7,Card
R0271,D0052,Tamale,Sagnarigu,Lamashegu,2025-09-12 04:38:00,2025-09-12 04:50:00,12,6.37,29.83,3.0,Card
R0092,D0075,Kumasi,Asokwa,Adum,2025-09-26 12:15:00,2025-09-26 12:48:00,33,24.28,46.52,4.8,Card
R0129,D0177,Kumasi,Adum,Asokwa,2025-03-11 02:47:00,2025-03-11 03:22:00,35,13.66,55.62,3.1,Mobile Money
R0292,D0004,Tamale,Choggu,Nyohini,2025-03-28 08:01:00,2025-03-28 08:09:00,8,14.29,57.14,4.0,Cash
R0008,D0167,Takoradi,Effiakuma,Sekondi,2025-07-30 21:14:00,2025-07-30 21:54:00,40,16.11,54.58,3.9,Mobile Money
R0164,D0129,Accra,East Legon,Osu,2025-04-26 19:31:00,2025-04-26 19:40:00,9,16.06,52.86,4.8,Card
R0092,D0078,Kumasi,Asokwa,Adum,2025-06-06 01:20:00,2025-06-06 01:37:00,17,2.09,12.31,4.9,Mobile Money
R0149,D0197,Kumasi,Asokwa,Bantama,2025-08-19 10:24:00,2025-08-19 10:34:00,10,22.37,61.94,4.2,Card
R0023,D0140,Tamale,Choggu,Sagnarigu,2025-05-05 05:15:00,2025-05-05 05:35:00,20,7.66,22.37,3.9,Mobile Money
R0283,D0024,Takoradi,Anaji,Sekondi,2025-01-30 19:47:00,2025-01-30 20:25:00,38,9.48,33.29,3.2,Mobile Money
R0039,D0175,Takoradi,Market Circle,Effiakuma,2025-10-06 20:07:00,2025-10-06 20:49:00,42,24.39,92.69,4.4,Cash
R0118,D0118,Accra,Airport,Osu,2025-08-02 15:13:00,2025-08-02 15:38:00,25,13.87,39.39,4.6,Mobile Money
R0160,D0111,Tamale,Nyohini,Choggu,2025-09-30 23:36:00,2025-10-01 00:08:00,32,17.43,39.81,4.8,Cash
R0240,D0168,Accra,Dansoman,Osu,2025-07-10 03:36:00,2025-07-10 04:09:00,33,20.74,80.51,4.5,Mobile Money
R0195,D0125,Kumasi,Ahodwo,Adum,2025-03-29 06:51:00,2025-03-29 07:28:00,37,15.72,44.73,4.9,Mobile Money
R0116,D0189,Kumasi,Ahodwo,Asokwa,2025-06-11 21:41:00,2025-06-11 22:12:00,31,21.79,42.66,3.1,Card
R0236,D0054,Takoradi,Sekondi,Anaji,2025-02-22 20:13:00,2025-02-22 20:57:00,44,10.04,39.34,5.0,Mobile Money
R0119,D0183,Kumasi,Bantama,Tafo,2025-08-04 09:55:00,2025-08-04 10:25:00,30,4.61,20.39,3.8,Mobile Money
R0120,D0036,Accra,Dansoman,Airport,2025-06-27 23:20:00,2025-06-27 23:39:00,19,24.28,87.31,4.7,Card
R0276,D0068,Tamale,Choggu,Nyohini,2025-06-29 22:50:00,2025-06-29 23:01:00,11,12.25,36.54,3.5,Mobile Money
R0179,D0149,Accra,Airport,Tema,2025-08-17 09:37:00,2025-08-17 09:49:00,12,2.35,17.59,4.6,Card
R0009,D0152,Accra,East Legon,Dansoman,2025-02-21 16:56:00,2025-02-21 17:04:00,8,24.99,97.3,4.1,Cash
R0133,D0153,Tamale,Sagnarigu,Nyohini,2025-02-10 07:21:00,2025-02-10 07:59:00,38,19.46,73.96,4.7,Card
R0214,D0097,Accra,Tema,East Legon,2025-01-26 23:36:00,2025-01-27 00:03:00,27,6.94,26.66,3.3,Mobile Money
R0025,D0138,Takoradi,Sekondi,Effiakuma,2025-01-24 00:07:00,2025-01-24 00:47:00,40,23.9,72.83,3.5,Cash
R0161,D0079,Kumasi,Asokwa,Ahodwo,2025-05-05 11:26:00,2025-05-05 11:59:00,33,17.12,54.84,3.7,Card
R0074,D0075,Accra,Dansoman,Airport,2025-07-16 13:56:00,2025-07-16 14:06:00,10,3.73,20.6,4.0,Cash
R0066,D0020,Kumasi,Bantama,Adum,2025-06-27 02:03:00,2025-06-27 02:37:00,34,19.54,57.64,4.7,Mobile Money
R0148,D0046,Accra,East Legon,Madina,2025-09-28 17:06:00,2025-09-28 17:28:00,22,14.25,47.36,4.8,Mobile Money
R0182,D0065,Accra,Madina,Airport,2025-09-11 16:35:00,2025-09-11 16:45:00,10,10.68,28.88,3.1,Card
R0133,D0084,Tamale,Nyohini,Sagnarigu,2025-04-18 20:59:00,2025-04-18 21:29:00,30,19.12,60.4,4.4,Card
R0138,D0022,Takoradi,Market Circle,Sekondi,2025-01-03 05:32:00,2025-01-03 05:42:00,10,6.11,18.83,3.0,Mobile Money
R0282,D0186,Kumasi,Ahodwo,Tafo,2025-05-09 06:06:00,2025-05-09 06:12:00,6,9.41,33.22,3.8,Mobile Money
R0036,D0037,Accra,East Legon,Dansoman,2025-05-27 15:16:00,2025-05-27 15:26:00,10,11.5,48.05,3.7,Card
R0256,D0015,Kumasi,Adum,Tafo,2025-07-22 21:14:00,2025-07-22 21:37:00,23,13.34,48.92,3.8,Cash
R0217,D0151,Tamale,Choggu,Lamashegu,2025-10-09 22:33:00,2025-10-09 22:39:00,6,15.93,59.37,4.9,Mobile Money
R0037,D0066,Accra,Tema,Osu,2025-04-03 10:06:00,2025-04-03 10:42:00,36,4.53,25.19,4.0,Mobile Money
R0295,D0095,Takoradi,Effiakuma,Market Circle,2025-09-29 05:54:00,2025-09-29 06:36:00,42,7.2,25.41,5.0,Mobile Money
R0174,D0115,Accra,Osu,Tema,2025-02-23 22:44:00,2025-02-23 22:49:00,5,12.82,37.66,4.3,Mobile Money
R0275,D0135,Kumasi,Ahodwo,Tafo,2025-06-10 14:09:00,2025-06-10 14:39:00,30,6.76,19.17,3.3,Card
R0189,D0172,Tamale,Choggu,Lamashegu,2025-10-24 12:21:00,2025-10-24 13:04:00,43,4.07,15.34,3.3,Cash
R0146,D0058,Kumasi,Bantama,Tafo,2025-02-24 03:11:00,2025-02-24 03:51:00,40,16.38,38.53,3.7,Mobile Money
R0110,D0162,Tamale,Sagnarigu,Choggu,2025-10-08 20:03:00,2025-10-08 20:32:00,29,22.52,63.13,4.3,Mobile Money
R0188,D0163,Takoradi,Effiakuma,Anaji,2025-01-11 08:48:00,2025-01-11 09:33:00,45,5.14,17.69,3.1,Cash
